store_number,recency,frequency,monetary_value
3806,5,1312,310683.05999999988
3811,3,1398,210017.24999999991
3814,4,1275,4243801.9200000009
3818,175,2320,116325.41000000003
3820,4,7236,1279656.8800000001
3822,4,532,86078.409999999974
3825,9,902,154399.06999999998
3826,270,71,13956.779999999999
3829,2,1984,147360.62999999998
3830,1,1622,303808.79
3831,1,1372,104473.93999999999
3833,1,1949,348548.90000000008
3841,12,781,37610.430000000008
3842,3,2867,430670.2900000001
3845,1,179,28151.069999999989
3849,1,1006,128144.67000000006
3857,1,2279,295787.89
3859,3,1247,243015.87999999995
3866,10,824,177069.83
3868,1,3956,753916.05
3870,2,620,133872.72
3871,33,188,41728.500000000007
3872,1,406,84849.599999999991
3873,3,904,192257.91
3877,2,965,206761.01999999996
3879,11,987,219190.68000000002
3880,9,721,131866.91999999995
3881,4,3208,685082.50999999966
3882,82,467,47333.79000000003
3886,1,1937,329015.02000000008
3888,4,1096,233306.90000000008
3889,2,1418,282229.10000000009
3890,5,2736,120000.11999999998
3896,291,263,12992.779999999995
3899,2,3983,740159.98
3901,1,440,95683.239999999947
3907,12,1365,53898.789999999994
3909,1,856,127790.58
3910,1,554,133271.84000000005
3912,12,1701,86869.04
3916,1,1182,53165.649999999994
3917,3,2345,120716.80000000005
3918,4,1278,81532.010000000009
3920,4,2258,101962.75999999998
3928,4,2198,76192.120000000054
3930,11,792,173922.08000000005
3932,4,2457,254168.46
3934,4,1294,226144.22
3942,4,2129,357894.08999999991
3943,4,2716,164573.34
3944,1,1714,1773047.1400000004
3949,3,984,196530.29000000004
3952,82,3412,1323643.6100000008
3959,4,767,49219.61
3964,1,894,65582.809999999983
3973,2,2355,365750.17999999993
3980,3,2475,427635.26
3981,4,1608,282417.5199999999
3987,248,414,60964.269999999982
3990,3,5806,421888.38999999984
3993,3,3253,442156.61999999988
3997,4,828,157486.29000000012
4000,4,2324,116364.13
4001,4,1478,260729.97999999998
4004,2,3747,714479.89999999979
4006,3,681,145263.78
4011,1,1929,281364.01000000013
4013,4,872,134836.15999999997
4014,4,1303,214890.32
4015,2,2966,503116.04000000015
4019,3,1164,214295.21999999994
4021,3,1517,269547.00000000017
4023,1,1825,317627.91999999993
4024,4,937,154116.45000000004
4025,12,1288,100901.80999999997
4027,1,1416,230199.62
4042,1,307,49893.530000000006
4051,4,1951,343730.6
4056,99,87,18471.84
4057,1,2983,410242.41000000027
4067,1,1085,85888.19
4068,3,2487,299773.53
4069,1,1430,318803.00000000017
4070,4,2247,205883.83000000002
4073,3,1978,311495.32
4083,2,3291,348624.81
4084,2,1697,343169.12000000011
4091,2,1160,343558.52
4092,1,2006,736868.19
4098,3,1172,196830.68000000014
4102,2,1418,164088.37000000005
4103,2,2007,323637.58
4104,2,592,118331.20000000001
4105,2,1301,283504.36000000004
